City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Katsuura,JP,2021-06-02 19:27:50,35.1333,140.3,69.12,83,4,8.75
179,Pendleton,US,2021-06-02 19:27:50,45.6721,-118.7886,95.4,25,1,1.99
180,San Patricio,US,2021-06-02 19:27:50,28.017,-97.5169,91.02,54,34,7.94
181,Codrington,AU,2021-06-02 19:27:51,-38.2667,141.9667,49.1,87,39,6.96
182,Tateyama,JP,2021-06-02 19:27:16,34.9833,139.8667,69.03,82,0,8.1
183,Saldanha,ZA,2021-06-02 19:27:51,-33.0117,17.9442,60.85,84,51,16.87
184,Terra Santa,BR,2021-06-02 19:27:51,-2.1042,-56.4869,88.05,55,46,4.88
185,Hasaki,JP,2021-06-02 19:27:52,35.7333,140.8333,63.28,79,9,7.18
186,Beloha,MG,2021-06-02 19:27:52,-25.1667,45.05,68.11,92,35,9.35
187,Sumbe,AO,2021-06-02 19:27:52,-11.2061,13.8437,76.21,85,0,2.24
188,Lompoc,US,2021-06-02 19:27:45,34.6391,-120.4579,89.69,69,1,13.8
189,Avarua,CK,2021-06-02 19:27:53,-21.2078,-159.775,78.85,69,65,13.8
190,Eastleigh,GB,2021-06-02 19:27:53,50.9667,-1.35,71.46,76,40,9.22
191,Comodoro Rivadavia,AR,2021-06-02 19:23:17,-45.8667,-67.5,49.86,57,0,12.66
192,Kodiak,US,2021-06-02 19:23:57,57.79,-152.4072,47.71,81,90,5.75
193,Barrow,US,2021-06-02 19:27:54,71.2906,-156.7887,28.42,74,90,18.41
194,Vila Franca Do Campo,PT,2021-06-02 19:24:34,37.7167,-25.4333,63.01,59,100,9.69
195,Areosa,PT,2021-06-02 19:27:54,41.7178,-8.8571,63.25,86,87,18.01
196,Erdenet,MN,2021-06-02 19:27:55,49.0333,104.0833,43.99,85,17,3.76
197,Kavaratti,IN,2021-06-02 19:27:55,10.5669,72.642,83.34,78,100,16.02
198,Broken Hill,AU,2021-06-02 19:24:06,-31.95,141.4333,49.71,87,19,9.22
199,Vagamo,NO,2021-06-02 19:27:56,61.8751,9.0967,64.71,50,72,7.23
200,Akureyri,IS,2021-06-02 19:27:56,65.6835,-18.0878,55.33,38,40,8.05
201,Muros,ES,2021-06-02 19:27:56,42.7762,-9.0603,59.68,77,100,11.54
202,Bethel,US,2021-06-02 19:27:55,41.3712,-73.414,78.24,63,40,12.66
203,Isangel,VU,2021-06-02 19:26:08,-19.55,169.2667,68.65,67,22,7.63
204,Margate,GB,2021-06-02 19:27:57,51.3813,1.3862,72.18,65,19,1.01
205,Curup,ID,2021-06-02 19:27:57,-3.4667,102.5333,68.2,98,33,0.98
206,College,US,2021-06-02 19:25:54,64.8569,-147.8028,62.1,66,75,0.0
207,Sao Gabriel Da Cachoeira,BR,2021-06-02 19:27:58,-0.1303,-67.0892,85.8,74,40,2.77
208,Maraba,BR,2021-06-02 19:27:58,-5.3686,-49.1178,96.98,41,20,2.3
209,Todos Santos,MX,2021-06-02 19:27:58,23.45,-110.2167,94.1,39,6,5.88
210,Berdigestyakh,RU,2021-06-02 19:24:41,62.0989,126.6992,50.27,75,94,1.92
211,Rafai,CF,2021-06-02 19:27:59,4.95,23.9167,68.74,93,62,1.3
212,Tual,ID,2021-06-02 19:27:59,-5.6667,132.75,81.77,78,100,19.04
213,Rio Rita,PA,2021-06-02 19:28:00,9.3039,-79.7944,88.05,63,100,21.99
214,Santo Antonio Do Ica,BR,2021-06-02 19:28:00,-3.1022,-67.9397,89.69,52,58,2.59
215,Portland,US,2021-06-02 19:26:11,45.5234,-122.6762,87.58,47,1,1.01
216,Vaitape,PF,2021-06-02 19:28:01,-16.5167,-151.75,80.53,71,100,13.47
217,Camana,PE,2021-06-02 19:28:01,-16.6228,-72.7111,67.26,76,27,5.91
218,Sao Filipe,CV,2021-06-02 19:28:01,14.8961,-24.4956,74.5,77,16,11.32
219,Taltal,CL,2021-06-02 19:28:02,-25.4,-70.4833,66.36,69,16,3.53
220,Sur,OM,2021-06-02 19:28:02,22.5667,59.5289,94.82,37,4,12.01
221,Warri,NG,2021-06-02 19:28:02,5.5167,5.75,77.25,91,31,4.36
222,Shancheng,CN,2021-06-02 19:28:03,34.7953,116.0817,67.14,84,100,6.08
223,Kintampo,GH,2021-06-02 19:28:03,8.0563,-1.7306,82.33,58,95,2.37
224,Kapit,MY,2021-06-02 19:28:03,2.0167,112.9333,73.02,99,100,0.67
225,Bayonet Point,US,2021-06-02 19:28:04,28.3267,-82.6834,90.41,67,97,1.01
226,Chokurdakh,RU,2021-06-02 19:25:11,70.6333,147.9167,63.73,26,17,1.43
227,Gat,IL,2021-06-02 19:28:04,31.61,34.7642,72.81,100,0,8.05
228,Port-Gentil,GA,2021-06-02 19:28:04,-0.7193,8.7815,78.76,83,90,8.05
229,Changli,CN,2021-06-02 19:28:05,39.7042,119.1506,61.41,71,100,6.44
230,Luau,AO,2021-06-02 19:28:05,-10.7073,22.2247,65.43,40,15,2.46
231,Champerico,GT,2021-06-02 19:28:05,14.3,-91.9167,92.77,64,83,9.42
232,Bengkulu,ID,2021-06-02 19:25:24,-3.8004,102.2655,77.11,86,94,4.32
233,Dhidhdhoo,MV,2021-06-02 19:26:06,6.8833,73.1,82.94,78,98,18.54
234,Yashkul,RU,2021-06-02 19:28:06,46.1711,45.3435,67.05,74,56,13.98
235,Oum Hadjer,TD,2021-06-02 19:28:06,13.2954,19.6966,97.57,18,99,9.44
236,Husavik,IS,2021-06-02 19:28:07,66.0449,-17.3389,55.31,77,38,5.12
237,Watsa,CD,2021-06-02 19:28:07,3.0372,29.5355,69.33,79,100,2.73
238,Areni,AM,2021-06-02 19:28:07,39.7191,45.1799,73.76,33,0,3.09
239,Yangjiang,CN,2021-06-02 19:28:08,21.85,111.9667,81.03,93,99,6.51
240,Ulhasnagar,IN,2021-06-02 19:28:08,19.2167,73.15,82.4,74,100,1.83
241,Namibe,AO,2021-06-02 19:28:08,-15.1961,12.1522,72.05,82,88,6.78
242,Stratford-Upon-Avon,GB,2021-06-02 19:28:09,52.1917,-1.7073,70.79,83,100,6.93
243,Shache,CN,2021-06-02 19:28:09,38.4167,77.2406,73.36,28,74,7.83
244,Haines Junction,CA,2021-06-02 19:28:09,60.7522,-137.5108,57.15,44,100,2.3
245,Bud,US,2021-06-02 19:28:10,39.447,-86.1758,66.29,96,100,10.83
246,Abha,SA,2021-06-02 19:28:10,18.2164,42.5053,77.25,11,0,9.01
247,Chelmno,PL,2021-06-02 19:28:10,53.3485,18.4251,60.75,77,9,6.35
248,Muisne,EC,2021-06-02 19:28:11,0.6,-80.0333,84.31,81,99,9.4
249,Maridi,SS,2021-06-02 19:28:11,4.9158,29.4742,68.54,99,100,4.25
250,Minab,IR,2021-06-02 19:28:11,27.1467,57.0801,89.1,43,4,1.16
251,Kudahuvadhoo,MV,2021-06-02 19:28:12,2.6708,72.8944,83.44,69,66,16.26
252,Praia,CV,2021-06-02 19:28:12,14.9215,-23.5087,75.74,73,20,19.57
253,Otyniya,UA,2021-06-02 19:28:12,48.7377,24.8611,51.31,89,100,5.75
254,Brae,GB,2021-06-02 19:28:13,60.3964,-1.353,55.31,70,0,13.31
255,Charagua,BO,2021-06-02 19:28:13,-19.8,-63.2167,80.87,42,3,8.12
256,Wanaka,NZ,2021-06-02 19:27:25,-44.7,169.15,39.4,87,15,3.44
257,Avera,US,2021-06-02 19:28:14,33.194,-82.5271,85.51,33,100,6.33
258,Poum,NC,2021-06-02 19:28:14,-20.2333,164.0167,72.18,63,84,10.69
259,Omalur,IN,2021-06-02 19:28:14,11.741,78.0456,83.59,69,15,5.03
260,Deep River,CA,2021-06-02 19:25:30,46.1001,-77.4995,81.43,27,56,5.3
