City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Qui Nhon,VN,85.55,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
481,Portel,BR,75.72,scattered clouds,-1.9356,-50.8211,Kitnet do Marcos
482,Bahia De Caraquez,EC,75.38,broken clouds,-0.6,-80.4167,La Piedra Hotel
484,Pangkalanbuun,ID,78.94,few clouds,-2.6833,111.6167,Grand Kecubung Hotel
488,Mattru,SL,77.0,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
491,Santa Cruz Del Norte,CU,81.21,broken clouds,23.1539,-81.9236,Felipon Pon Pon
492,Tambun,ID,82.11,mist,-6.2641,107.0712,@HOM Premiere Tambun
495,Barhi,IN,83.41,overcast clouds,23.9,80.8,"Govt , st senior boys hostel Barhi"
496,Biloxi,US,82.45,clear sky,30.396,-88.8853,Golden Nugget Biloxi Hotel & Casino
501,Sinnamary,GF,77.16,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
503,Cururupu,BR,76.1,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
504,Presque Isle,US,78.78,few clouds,46.6811,-68.0159,Hampton Inn Presque Isle
505,Dawlatabad,AF,82.72,few clouds,36.4141,64.9053,WASIM ASGAR KHAN
508,Phangnga,TH,85.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
509,Point Fortin,TT,78.15,overcast clouds,10.1833,-61.6833,Jus Les' Suites
513,Soyo,AO,76.93,broken clouds,-6.1349,12.3689,Hotel Mpampa
514,Sao Raimundo Das Mangabeiras,BR,79.77,few clouds,-7.0219,-45.4811,Hotel Tropical
520,Birao,CF,80.47,light rain,10.2849,22.7882,
521,Logansport,US,88.03,clear sky,40.7545,-86.3567,"Holiday Inn Express & Suites Logansport, an IHG Hotel"
523,Aripuana,BR,78.12,overcast clouds,-9.1667,-60.6333,
526,Paka,MY,76.93,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
527,Nabire,ID,81.09,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
531,Anori,BR,75.96,scattered clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
532,Jati,PK,84.04,few clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
541,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
542,Ormara,PK,83.77,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
547,Mecca,SA,81.73,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
548,Omboue,GA,76.48,scattered clouds,-1.5746,9.2618,Hotel Olako
549,Mandera,KE,77.74,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
550,Sao Gabriel Da Cachoeira,BR,75.27,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
552,Linqiong,CN,76.78,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
555,Herat,AF,75.81,clear sky,34.5,62.0,
556,Richmond,US,78.78,clear sky,37.5538,-77.4603,The Jefferson Hotel
557,Kaura Namoda,NG,88.79,scattered clouds,12.5898,6.5779,Moonlight Hotel
562,Primo Tapia,MX,84.51,clear sky,32.22,-116.9172,Puerto Nuevo Baja Hotel y Villas
563,Rantepao,ID,75.04,broken clouds,-2.9701,119.8978,Hotel Luta Resort
565,Merauke,ID,78.84,overcast clouds,-8.4667,140.3333,
566,Jeremie,HT,80.47,scattered clouds,18.65,-74.1167,Auberge’Inn
567,Lubbock,US,80.38,broken clouds,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
576,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
578,Kavaratti,IN,82.56,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
579,Banff,CA,76.23,clear sky,51.1762,-115.5698,Banff Aspen Lodge
581,Obala,CM,75.07,moderate rain,4.1667,11.5333,The yafe
582,Jinchang,CN,75.07,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
585,Mayumba,GA,75.88,broken clouds,-3.432,10.6554,LIKWALE LODGE
588,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
590,Bull Savanna,JM,77.65,scattered clouds,17.8868,-77.5902,Big Red's
591,Tucuma,BR,75.96,overcast clouds,-0.1833,-50.05,
592,Ende,ID,81.01,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
597,Pio Xii,BR,76.17,few clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
600,Mogadishu,SO,78.64,broken clouds,2.0371,45.3438,Hotel Juba
604,Diu,IN,84.0,scattered clouds,20.7141,70.9822,Hotel Relax Inn
606,Trairi,BR,77.63,clear sky,-3.2778,-39.2689,janelas do mar
610,Jiazi,CN,76.77,broken clouds,22.8779,116.067,Hotel Jin Hao
612,Elat,IL,78.64,clear sky,29.5581,34.9482,Club Hotel Eilat
616,Bhachau,IN,83.53,clear sky,23.2833,70.35,Amrut Bagh Resort
618,Itoman,JP,84.58,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
619,Tamale,GH,76.64,broken clouds,9.4008,-0.8393,Tap Hotel
620,Mayo,US,82.81,few clouds,38.8876,-76.5119,Resorts Resource Group International
621,Ewa Beach,US,85.98,broken clouds,21.3156,-158.0072,Uncle Junior Robert
622,Kota Bahru,MY,78.89,few clouds,6.1333,102.2386,Grand Riverview Hotel
625,Kasangulu,CD,77.88,few clouds,-4.5911,15.1708,Hôtel le Relais
626,Carutapera,BR,77.2,clear sky,-1.195,-46.02,Lidera
636,Gizo,SB,83.91,broken clouds,-8.103,156.8419,Imagination Island
637,Missoula,US,77.4,few clouds,47.0166,-113.8009,Gold Creek Cabin
638,Bosaso,SO,87.96,few clouds,11.2842,49.1816,Red Sea Hotel
639,Pundaguitan,PH,83.05,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
644,Midland,US,81.48,scattered clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
645,Suicheng,CN,75.69,clear sky,33.8963,117.9331,Junyue Hotel
648,Kapit,MY,76.55,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
649,Aswan,EG,80.46,clear sky,24.0934,32.907,Nuba Nile
656,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
657,Meybod,IR,87.82,few clouds,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
658,Dhidhdhoo,MV,82.33,overcast clouds,6.8833,73.1,Dhidhoo beach
659,Sangueya,GN,77.94,broken clouds,10.7,-14.3667,
662,Phichit,TH,87.12,overcast clouds,16.25,100.4167,Rommakham Homestay
663,Lorengau,PG,85.19,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
664,Matthews,US,84.58,clear sky,35.1168,-80.7237,"Holiday Inn Express & Suites Charlotte Southeast - Matthews, an IHG Hotel"
667,Mamallapuram,IN,85.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
669,Berbera,SO,89.49,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
673,Bhindar,IN,80.65,broken clouds,24.5,74.1833,Hotel Rajmahal Bhindar
674,Nisia Floresta,BR,77.38,clear sky,-6.0911,-35.2086,Rancho Crepusculo
678,Pontianak,ID,78.78,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
679,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
